run_id,epoch,base_harm,beta,conformal_score,conformal_method,gamma,alpha,k,Method,Collective,Report Strategy,Report Fraction,likes_softmax_temperature,topk_n,tag,avg_frequency_in_topk
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,26,0.012328494730562545
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,67,0.07140584609266519
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,12,0.06762775899781508
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,15,0.0262775899781262
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,62,0.04325909723603191
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,4,0.01864187711274558
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,39,0.12044143965003025
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,20,0.05265460330085634
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,68,0.04840922648638007
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,2,0.040435474249354474
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,1,0.028266056870152656
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,6,0.041906939749453954
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,11,0.03573275004971206
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,17,0.01937760986279526
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,16,0.010210777490554662
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,9,0.047206204016704195
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,7,0.03348578246172214
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,5,0.03170610459335851
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,65,0.029518791012129425
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,42,0.005368860608470917
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,10,0.009683833764167739
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,30,0.003489759395506087
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,18,0.02172400079538611
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,3,0.06484390534897831
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,43,0.02725193875521914
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,19,0.0311493338635911
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,34,0.08859614237423175
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,38,0.007068999801153341
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,14,0.004285146152316595
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,25,0.028524557566116087
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,29,0.003002585006959649
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.0023861602704314975,20,Conformal,0.005,low_risk_q1,0.001,1.0,0,21,0.004145953469874756
