run_id,epoch,base_harm,beta,conformal_score,conformal_method,gamma,alpha,k,Method,Collective,Report Strategy,Report Fraction,likes_softmax_temperature,topk_n,tag,avg_frequency_in_topk
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,26,0.012358321733942945
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,67,0.07132630741698413
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,12,0.0680353947106805
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,15,0.026555975343009897
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,62,0.04368661761781754
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,4,0.018612050109365185
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,39,0.12093855637303683
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,20,0.052763968979917766
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,68,0.048538476834361785
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,2,0.04038576257705384
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,1,0.028494730562735698
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,6,0.04209584410419648
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,11,0.03572280771525187
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,17,0.019129051501291988
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,16,0.01020083515609453
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,9,0.04741499304036699
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,7,0.03382382183336663
0,100,0.3,0.0,Harm,hybrid,0.5401710867881775,0.0023861602704314975,20,Conformal,0.005,tag,0.25,1.0,0,5,0.031576854245376755
