run_id,epoch,base_harm,beta,conformal_score,conformal_method,gamma,alpha,k,nDCG @ k,"H(S,X)",|S|,random_items,Recall @ k,items_exhaustes,Method,Collective,Report Strategy,Report Fraction,likes_softmax_temperature,topk_n
0,100,0.3,0.0,Harm,hybrid,0.6271772384643555,0.002380952380952381,20,0.48837528695513227,0.0021388216303470545,19.766949152542374,0.8595641646489104,0.6242753121783091,0.7720335108777012,Conformal,0.023,likes,0.023,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.6644656658172607,0.002281746031746032,20,0.45278775993541615,0.0020682001614205003,19.61904761904762,0.9620661824051655,0.6091770189644096,0.8280325762156844,Conformal,0.023,likes,0.023,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.701754093170166,0.002182539682539683,20,0.42699663082602507,0.0019168684422921712,19.39729620661824,1.104317998385795,0.5830742228647431,0.8543185482235969,Conformal,0.023,likes,0.023,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.776330828666687,0.0020833333333333337,20,0.39477633836950593,0.0015940274414850686,18.599878934624698,1.5782889426957223,0.5006125031918423,0.868978835490054,Conformal,0.023,likes,0.023,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8260486125946045,0.0019841269841269845,20,0.3802206915259334,0.0014729620661824052,17.659200968523002,2.111581920903955,0.40735734954359626,0.8712042583629502,Conformal,0.023,likes,0.023,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8384780883789062,0.0018849206349206352,20,0.37595293029017257,0.0014124293785310734,17.357949959644873,2.2857142857142856,0.38091273829135436,0.871574994085623,Conformal,0.023,likes,0.023,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.850907564163208,0.0017857142857142859,20,0.37164508056680867,0.001301452784503632,17.062550443906375,2.474778046811945,0.353444889711747,0.8718363147189077,Conformal,0.023,likes,0.023,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8633370399475098,0.0016865079365079368,20,0.3678145675547632,0.0012207425343018564,16.73769168684423,2.682001614205004,0.3266461359199592,0.8721407797338091,Conformal,0.023,likes,0.023,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8881959915161133,0.0015873015873015875,20,0.3590050572560784,0.001099677158999193,15.999798224374496,3.164648910411622,0.27008115698756646,0.8723995776996231,Conformal,0.023,likes,0.023,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.9006253480911255,0.0014880952380952382,20,0.35442436878470285,0.001029055690072639,15.610774818401937,3.4382566585956416,0.24401149706860864,0.8725278588935994,Conformal,0.023,likes,0.023,1.0,0
