run_id,epoch,base_harm,beta,conformal_score,conformal_method,gamma,alpha,k,nDCG @ k,"H(S,X)",|S|,random_items,Recall @ k,items_exhaustes,Method,Collective,Report Strategy,Report Fraction,likes_softmax_temperature,topk_n
0,100,0.3,0.0,Harm,hybrid,0.45316487550735474,0.0023861602704314975,20,0.599762600350093,0.0023463909325909726,19.98846689202625,0.38158679657983696,0.6438814209028467,0.2611232302750787,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.5153121948242188,0.0022867369258301852,20,0.5794452498839977,0.0022668522569099223,19.95983296878107,0.5850069596341221,0.6424204052344352,0.4372217364756384,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.002187313581228873,20,0.5357741028791174,0.002217140584609266,19.890634320938556,0.7458739311990455,0.6372868741229848,0.6471130895444657,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.6396067142486572,0.0020878902366275602,20,0.4725120102937975,0.0021475442433883476,19.727580035792403,0.886060847086896,0.6198501179612284,0.7962900075487904,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.6768951416015625,0.001988466892026248,20,0.43969770675605613,0.0020978325710876915,19.561940743686616,1.0003976933784053,0.600871145723856,0.8408415615024979,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.72661292552948,0.0018890435474249356,20,0.41119002590059694,0.0017697355339033607,19.213362497514417,1.2159475044740504,0.5611039431703958,0.8641384932051249,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.7887603044509888,0.0017896202028236231,20,0.3896642367631055,0.001580831179160867,18.420163054285148,1.675084509842911,0.4815170777535117,0.8711521956966537,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8260486125946045,0.0016901968582223106,20,0.378215141605268,0.0015112348379399483,17.69317955856035,2.0918671704116125,0.4091992482782557,0.8726761392815234,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8384780883789062,0.0015907735136209984,20,0.37448014085149706,0.0014416384967190297,17.396301451580833,2.2636707098826805,0.38126698936560566,0.8730414934755115,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8633370399475098,0.001491350169019686,20,0.36507046806970717,0.0012626764764366674,16.785046728971963,2.65758600119308,0.32684820829747435,0.873599066287683,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8757665157318115,0.0013919268244183736,20,0.36272986738369944,0.0011632531318353549,16.43129846888049,2.887253927222112,0.2994588777064658,0.8737507985121383,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.9006253480911255,0.001292503479817061,20,0.352001896774207,0.0010638297872340426,15.674487969775303,3.412805726784649,0.24490065904974762,0.8739805266805882,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.9130548238754272,0.0011930801352157488,20,0.3464710434224224,0.000994233446013124,15.247961821435673,3.7124676874130045,0.22030164535598193,0.874045003737145,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.9130548238754272,0.0010936567906144365,20,0.3464710434224224,0.000994233446013124,15.247961821435673,3.7124676874130045,0.22030164535598193,0.874045003737145,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.925484299659729,0.000994233446013124,20,0.340647167228754,0.0008450984291111553,14.799363690594552,4.040763571286538,0.1956849093399208,0.8741224751909097,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.9503432512283325,0.0008948101014118116,20,0.3276718049752108,0.0007257904155895805,13.893418174587394,4.740703917279777,0.15461368947962495,0.8743088371490408,Conformal,0.005,random,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.9627727270126343,0.0007953867568104992,20,0.3227823057969209,0.0006561940743686619,13.421157287731159,5.108570292304633,0.1376414028375069,0.8743405132170183,Conformal,0.005,random,0.01,1.0,0
