run_id,epoch,base_harm,beta,conformal_score,conformal_method,gamma,alpha,k,nDCG @ k,"H(S,X)",|S|,random_items,Recall @ k,items_exhaustes,Method,Collective,Report Strategy,Report Fraction,likes_softmax_temperature,topk_n
0,100,0.3,0.0,Harm,hybrid,0.49045324325561523,0.002385705729686564,20,0.5911355496007881,0.0022958674386105013,19.97504491914554,0.5100818526652027,0.643409634640566,0.3571022069362666,Conformal,0.01,top_ranker_q1,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.5526005029678345,0.002286301324282957,20,0.5560016375841152,0.0022259932122180074,19.92852864843282,0.6845677779996007,0.6393012082757538,0.565426149977405,Conformal,0.01,top_ranker_q1,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.577459454536438,0.00218689691887935,20,0.536623045173899,0.0022160111798762232,19.890197644240367,0.7468556598123378,0.6371391365814021,0.6469460436028519,Conformal,0.01,top_ranker_q1,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.6396067142486572,0.0020874925134757435,20,0.47407528747835237,0.0021461369534837293,19.726492313835095,0.8874026751846676,0.6196582249805024,0.7959272915310778,Conformal,0.01,top_ranker_q1,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.6893246173858643,0.0019880881080721366,20,0.4329530458215809,0.0020063885006987425,19.49031742862847,1.0467159113595528,0.5932034998961513,0.8490462414951183,Conformal,0.01,top_ranker_q1,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.7514718770980835,0.0018886837026685296,20,0.40232155448417345,0.0017668197244959073,18.94849271311639,1.3711319624675584,0.5353374472172013,0.8676769509000074,Conformal,0.01,top_ranker_q1,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8011897802352905,0.001789279297264923,20,0.3863285074542039,0.001607107207027351,18.198243162307847,1.8023557596326611,0.45983984566709035,0.8712455314715674,Conformal,0.01,top_ranker_q1,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8260486125946045,0.0016898748918613162,20,0.3784909308836208,0.001507286883609503,17.683968856059092,2.0966260730684767,0.40866505302927636,0.8721677589232943,Conformal,0.01,top_ranker_q1,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8384780883789062,0.0015904704864577093,20,0.37433518872515537,0.0014374126572170094,17.3859053703334,2.269115591934518,0.38142889667364654,0.8725345719082347,Conformal,0.01,top_ranker_q1,0.01,1.0,0
0,100,0.3,0.0,Harm,hybrid,0.8633370399475098,0.0014910660810541023,20,0.3677843609326274,0.0012577360750648833,16.772210021960472,2.6636055100818528,0.3265944607633283,0.8730943710043438,Conformal,0.01,top_ranker_q1,0.01,1.0,0
